0.60779470723
[0.         0.16176471 0.28267974 0.36437908 0.46568627 0.60947712
 0.74673203 0.80555556 1.        ]
[0.         0.25515464 0.41494845 0.51030928 0.63402062 0.74742268
 0.86597938 0.93298969 1.        ]
thresholds
[1.73753449 0.73753449 0.67114029 0.59215106 0.58457474 0.52575686
 0.51818054 0.43919131 0.37279712]
total detection
[0.         0.41691935 0.69762819 0.87468836 1.09970689 1.3568998
 1.61271141 1.73854525 2.        ]
Gender time: 0.035235 acc. 0.491000 select_1 0.793000 preY:1000.000000 testY:1000.000000 testX:1000.000000 select_2 0.207000
[0.32885971 0.67114029]
[0.62720288 0.37279712]
[0.32885971 0.67114029]
[0.32885971 0.67114029]
[0.48181946 0.51818054]
[0.48181946 0.51818054]
[0.26246551 0.73753449]
[0.26246551 0.73753449]
[0.48181946 0.51818054]
[0.62720288 0.37279712]
[0.32885971 0.67114029]
[0.47424314 0.52575686]
[0.47424314 0.52575686]
[0.26246551 0.73753449]
[0.40784894 0.59215106]
[0.48181946 0.51818054]
[0.40784894 0.59215106]
[0.62720288 0.37279712]
[0.47424314 0.52575686]
[0.48181946 0.51818054]
[0.48181946 0.51818054]
[0.48181946 0.51818054]
[0.32885971 0.67114029]
[0.47424314 0.52575686]
[0.62720288 0.37279712]
[0.47424314 0.52575686]
[0.48181946 0.51818054]
[0.32885971 0.67114029]
[0.62720288 0.37279712]
[0.48181946 0.51818054]
[0.47424314 0.52575686]
[0.62720288 0.37279712]
[0.32885971 0.67114029]
[0.32885971 0.67114029]
[0.56080869 0.43919131]
[0.32885971 0.67114029]
[0.47424314 0.52575686]
[0.47424314 0.52575686]
[0.62720288 0.37279712]
[0.48181946 0.51818054]
[0.32885971 0.67114029]
[0.62720288 0.37279712]
[0.62720288 0.37279712]
[0.62720288 0.37279712]
[0.48181946 0.51818054]
[0.26246551 0.73753449]
[0.41542526 0.58457474]
[0.41542526 0.58457474]
[0.47424314 0.52575686]
[0.62720288 0.37279712]
[0.47424314 0.52575686]
[0.47424314 0.52575686]
[0.32885971 0.67114029]
[0.32885971 0.67114029]
[0.47424314 0.52575686]
[0.47424314 0.52575686]
[0.41542526 0.58457474]
[0.62720288 0.37279712]
[0.62720288 0.37279712]
[0.62720288 0.37279712]
[0.32885971 0.67114029]
[0.62720288 0.37279712]
[0.26246551 0.73753449]
[0.41542526 0.58457474]
[0.32885971 0.67114029]
[0.48181946 0.51818054]
[0.62720288 0.37279712]
[0.41542526 0.58457474]
[0.40784894 0.59215106]
[0.32885971 0.67114029]
[0.62720288 0.37279712]
[0.40784894 0.59215106]
[0.40784894 0.59215106]
[0.47424314 0.52575686]
[0.47424314 0.52575686]
[0.48181946 0.51818054]
[0.48181946 0.51818054]
[0.48181946 0.51818054]
[0.62720288 0.37279712]
[0.32885971 0.67114029]
[0.47424314 0.52575686]
[0.47424314 0.52575686]
[0.62720288 0.37279712]
[0.62720288 0.37279712]
[0.62720288 0.37279712]
[0.48181946 0.51818054]
