"From BNB,SGD"
0,0,MNB
0,0.30233368749938444,MLP
0,1.9972885142646295e-07,MNB
0,1.5426672201217982e-07,MNB
0,0,MNB
0,0,MNB
0,2.9717256151122042e-05,MNB
0,1.3588239366242841e-07,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0.0089397323429328285,MNB
0,0.31566344481232556,MLP
0,0,MNB
0,3.1340050367871939e-08,MNB
0,0.017583171229442876,MNB
0,0.45428483185279211,MLP
0,0,MNB
0,0.00364884478880744,MNB
0,0,MNB
0,1.3493847574174496e-06,MNB
0,0,MNB
0,0.44012370919070481,MLP
0,0.00089477531031240717,MNB
0,5.645945169778726e-06,MNB
0,0,MNB
0,0.47932353929017957,MLP
0,0,MNB
0,6.0680097360569808e-08,MNB
0,0.37986713979374398,MLP
0,1.0975004333404793e-08,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0.00014158359586933857,MNB
0,0,MNB
0,0,MNB
0,0.18957408244220444,MNB
0,1.4509059814396141e-07,MNB
0,0.013691622950056629,MNB
0,0,MNB
0,0.35419749522607197,MLP
0,0.030757368930864649,MNB
0,8.9258789192259363e-07,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,1.0975004333404793e-08,MNB
0,7.3345038114277315e-05,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0.46679268807600682,MLP
0,0,MNB
0,3.593149081777115e-07,MNB
0,0.38722292810596604,MLP
0,0,MNB
0,0,MNB
0,0,MNB
0,0.43311805445100171,MLP
0,0,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0.00053740093997108279,MNB
0,0,MNB
0,0.00013195335403212201,MNB
0,0.00053682510286556686,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,1.0975004333404793e-08,MNB
0,3.593149081777115e-07,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0.57509510851979051,MLP
0,0,MNB
0,0,MNB
0,0.00046769764943087701,MNB
0,2.4644331729928564e-05,MNB
0,0,MNB
0,0,MNB
0,0.57759857881201593,MLP
0,0,MNB
0,0,MNB
0,0.63546301307327246,MLP
0,0,MNB
0,0.29543723580729381,MLP
0,0.41780023551987444,MLP
0,0,MNB
0,9.8676939381724948e-08,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0.0018721486728463181,MNB
0,0,MNB
0,0,MNB
0,0,MNB
0,0.037919035804033122,MNB
0,0,MNB
